ID,title,score,director,cast,country,added,release,rating,duration,description,platform,Action & Adventure,Adult Animation,Animals & Nature,Animation,Anime,Anthology,Arthouse,Arts,Biographical,Black Stories,Buddy,Cartoons,Children & Family Movies,Classic Movies,Comedies,Coming of Age,Crime,Cult Movies,Dance,Disaster,Documentaries,Drama,Entertainment,Faith & Spirituality,Family,Fantasy,History,Horror & Suspense,Independent Movies,International,Kids,LGBTQ,Lifestyle & Culture,Medical,Military and War,Music,Mystery,News,Parody,Reality,Romance,Romantic Comedies,Sci-Fi & Fantasy,Science & Technology,Special Interest,Sports,Spy/Espionage,Stand Up,Superhero,Survival,Teen,Thriller,Variety,Western
4291,Marauders,64,Steven C. Miller,"Bruce Willis, Christopher Meloni, Dave Bautista, Adrian Grenier, Johnathon Schaech, Lydia Hull, Tyler Jon Olson, Christopher Rob Bowen, Richie Chance","Canada, United States",2020-12-01,2016,R,107 min,A series of high-stakes thefts at banks owned by a manipulative millionaire sparks an FBI agent to suspect a sinister plan behind the deadly heists.,Netflix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4292,Carnal Knowledge,64,Mike Nichols,"Ann-Margret, Candice Bergen, Art Garfunkel, Carol Kane, Rita Moreno, Jack Nicholson, Cynthia O'Neal",,,1971,16+,98 min,Jack Nicholson stars in this bitter-sweet comedy that follows two college roommates seeking sexual fulfillment. From Academy Award winning director Mike Nichols (The Graduate).,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4293,Same Kind of Different as Me,64,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",United States,2021-09-01,2017,PG-13,120 min,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,Netflix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4294,Same Kind of Different as Me,64,Michael Carney,"Greg Kinnear, Renee Zellweger, Djimon Hounsou, Jon Voight",United States,,2017,PG-13,119 min,"From The NY Times bestseller comes an inspirational true story about two men from drastically different backgrounds, who develop a surprising bond that will lead them on the most remarkable journey of their lives and forge an everlasting friendship.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4295,Last Shift,64,Anthony DiBlasi,"Juliana Harkavy, Joshua Mikel, J. LaRose",,,2015,R,88 min,"Rookie police officer Jessica Loren [Juliana Harkavy - ""The Walking Dead""] is assigned the last shift at a closing police station. Jessica comes to learn that it's home to the ultimate embodiment of evil and his devoted followers.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4296,Look Away,64,Assaf Bernstein,"India Eisley, Jason Isaacs, Mira Sorvino",,,2018,,103 min,"Maria, an alienated high-school student has her life turned upside down when she switches places with her sinister mirror image.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4297,The Transporter Refueled,64,Camille Delamarre,"Ed Skrein, Ray Stevenson, Loan Chabanol, Gabriella Wright","France, China, Belgium, Monaco",,2015,PG-13,96 min,"Frank Martin, a former special-ops mercenary, is now living a less perilous life. But when he is engaged by a cunning femme-fatale, he must use his covert expertise and knowledge of fast cars, fast driving, and fast women in a dangerous game of chess.",Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4298,Blue Thunder,64,John Badham,"Roy Scheider, Warren Oates, Candy Clark, Daniel Stern, Malcolm McDowell, Anthony James, James Read, Joe Santos",,,1983,R,109 min,The cop test pilot for an experimental police helicopter learns the sinister implications of the new vehicle.,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4299,The Attorney,64,Woo-seok Yang,"Kang-ho Song, Kwang Soo Cha, Gi-joong Han",,,2014,16+,127 min,"Woo-seok Song has no clients, connections or even a college degree, but his eye for business and appetite for money turn him into one of the most successful lawyers in town. But right at the peak of his success, a local teenager is falsely accused of a crime, then beaten and tortured while waiting in jail. Shocked by these conditions, Song takes on the case no one else will. Based on a true story.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300,The Beastmaster,64,Don Coscarelli,"Marc Singer, Tanya Roberts",,,1982,13+,118 min,"Marc Singer and Tanya Roberts in a sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces.",Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
