ID,title,score,director,release,genre,subgenre,platform
3376,The Amazing Johnathan Documentary,68,,2019,,,Hulu
3377,Dora and the Lost City of Gold,68,,2019,,,Hulu
3378,Confessions of a Shopaholic,68,P.J. Hogan,2009,,,Disney Plus
3379,Universal Soldier,68,Roland Emmerich,1992,,,Amazon Prime
3380,The Addams Family,68,,2019,,,Hulu
3381,Hollow Man,68,,2000,,,Hulu
3382,The Messenger,68,,2009,,,Hulu
3383,"20,000 Days on Earth",67,,2014,,,Hulu
3384,Sightseers,67,,2013,,,Hulu
3385,Diary of a Wimpy Kid,67,,2010,,,Hulu
3386,Antebellum,67,,2020,,,Hulu
3387,Hellbound: Hellraiser II,67,,1988,,,Hulu
3388,I Feel Pretty,67,,2018,,,Hulu
3389,Child's Play,67,Tom Holland,1988,,,Netflix
3390,Child's Play,67,,2019,,,Hulu
3391,Child's Play,67,Sidney Lumet,1972,,,Amazon Prime
3392,The Hustle,67,,2019,,,Hulu
3393,Timeline,67,,2003,,,Hulu
3394,Super Dark Times,67,Kevin Phillips,2017,,,Netflix
3395,Super Dark Times,67,,2017,,,Hulu
3396,Dogman,67,,2018,,,Hulu
3397,Ammonite,67,,2020,,,Hulu
3398,Red Dawn,67,John Milius,1984,,,Netflix
3399,Red Dawn,67,,2012,,,Hulu
3400,Borg vs McEnroe,67,,2017,,,Hulu
3401,Babyteeth,67,,2019,,,Hulu
3402,The United States vs. Billie Holiday,67,,2021,,,Hulu
3403,The Congress,67,Ari Folman,2013,,,Netflix
3404,The Congress,67,,2013,,,Hulu
3405,Jesus Camp,67,,2006,,,Hulu
3406,A Hologram for the King,67,,2016,,,Hulu
3407,The Connection,67,,2015,,,Hulu
3408,The Connection,67,Nicholas Naylor,2021,,,Amazon Prime
3409,The Haunting in Connecticut,67,,2009,,,Hulu
3410,Destroyer,66,,2018,,,Hulu
3411,McLintock!,66,Andrew V. McLaglen,1963,,,Amazon Prime
3412,The Assistant,66,,2019,,,Hulu
3413,Rookie of the Year,66,Daniel Stern,1993,,,Disney Plus
3414,Grudge Match,66,,2013,,,Hulu
3415,Spontaneous,66,,2020,,,Hulu
3416,My Friend Dahmer,66,,2017,,,Hulu
3417,AKA Jane Roe,66,,2020,,,Hulu
3418,Charlotte's Web,66,"Charles A. Nichols, Iwao Takamoto",1973,,,Netflix
3419,Rebel in the Rye,66,,2017,,,Hulu
