ID,title,score,director,release,genre,subgenre,platform
1,The Irishman,98,Martin Scorsese,2019,,,Netflix
2,Dangal,97,Nitesh Tiwari,2016,,,Netflix
3,David Attenborough: A Life on Our Planet,95,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",2020,,,Netflix
4,The Social Dilemma,93,Jeff Orlowski,2020,,,Netflix
5,Okja,92,Bong Joon Ho,2017,,,Netflix
6,The Ballad of Buster Scruggs,92,"Joel Coen, Ethan Coen",2018,,,Netflix
7,The Trial of the Chicago 7,92,Aaron Sorkin,2020,,,Netflix
8,Article 15,92,Anubhav Sinha,2019,,,Netflix
9,Dolemite Is My Name,92,Craig Brewer,2019,,,Netflix
10,Mudbound,91,Dee Rees,2017,,,Netflix
11,Swades,91,Ashutosh Gowariker,2004,,,Netflix
12,Miss Americana,90,Lana Wilson,2020,,,Netflix
13,Virunga,90,Orlando von Einsiedel,2014,,,Netflix
14,Black Friday,90,Anurag Kashyap,2004,,,Netflix
15,The King,90,David Michôd,2019,,,Netflix
16,John Mulaney: Kid Gorgeous at Radio City,89,Alex Timbers,2018,,,Netflix
17,I Am Mother,89,Grant Sputore,2019,,,Netflix
18,Tell Me Who I Am,89,Ed Perkins,2019,,,Netflix
19,The Departed,89,Martin Scorsese,2006,,,Netflix
20,Winter on Fire: Ukraine's Fight for Freedom,89,Evgeny Afineevsky,2015,,,Netflix
21,I Lost My Body,89,Jérémy Clapin,2019,,,Netflix
22,Django Unchained,89,Quentin Tarantino,2012,,,Netflix
23,The Boy Who Harnessed the Wind,89,Chiwetel Ejiofor,2019,,,Netflix
24,The Fundamentals of Caring,89,Rob Burnett,2016,,,Netflix
25,Pieces of a Woman,88,Kornél Mundruczó,2020,,,Netflix
26,Gerald's Game,88,Mike Flanagan,2017,,,Netflix
27,On Body and Soul,88,Ildiko Enyedi,2017,,,Netflix
28,Shutter Island,88,Martin Scorsese,2010,,,Netflix
29,Always Be My Maybe,88,Dan Villegas,2016,,,Netflix
30,The Intouchables,88,"Olivier Nakache, Éric Toledano",2011,,,Netflix
31,Bill Burr: Paper Tiger,87,Mike Binder,2019,,,Netflix
32,Special 26,87,Neeraj Pandey,2013,,,Netflix
33,Kiss the Ground,87,"Joshua Tickell, Rebecca Harrell Tickell",2020,,,Netflix
34,Crip Camp: A Disability Revolution,87,,2020,,,Netflix
35,Extraction,87,Steven C. Miller,2015,,,Netflix
36,No Direction Home: Bob Dylan,87,Martin Scorsese,2005,,,Netflix
37,Kabhi Khushi Kabhie Gham,87,Karan Johar,2001,,,Netflix
38,Kabhi Khushi Kabhie Gham,87,Karan Johar,2001,,,Amazon Prime
39,His House,87,Remi Weekes,2020,,,Netflix
40,Super Deluxe,87,Thiagarajan Kumararaja,2019,,,Netflix
41,A Secret Love,87,Chris Bolan,2020,,,Netflix
42,The Night Comes for Us,87,Timo Tjahjanto,2018,,,Netflix
43,Pad Man,87,R. Balki,2018,,,Netflix
44,American Factory,86,"Steven Bognar, Julia Reichert",2019,,,Netflix
45,Bird Box,86,Susanne Bier,2018,,,Netflix
46,The Pianist,86,Roman Polański,2002,,,Netflix
47,3 Idiots,86,Rajkumar Hirani,2009,,,Netflix
48,The Distinguished Citizen,86,"Gastón Duprat, Mariano Cohn",2016,,,Netflix
49,A Shaun the Sheep Movie: Farmageddon,86,"Richard Phelan, Will Becher",2019,,,Netflix
50,A Clockwork Orange,86,Stanley Kubrick,1971,,,Netflix
51,What Happened to Monday,86,Tommy Wirkola,2017,,,Netflix
52,Anthony Jeselnik: Thoughts and Prayers,86,Adam Dubin,2015,,,Netflix
53,The White Helmets,86,Orlando von Einsiedel,2016,,,Netflix
54,Happy as Lazzaro,85,Alice Rohrwacher,2018,,,Netflix
55,Chasing Coral,85,Jeff Orlowski,2017,,,Netflix
56,Kal Ho Naa Ho,85,Nikkhil Advani,2003,,,Netflix
57,Kal Ho Naa Ho,85,Nikkhil Advani,2003,,,Amazon Prime
58,Pan's Labyrinth,85,Guillermo del Toro,2006,,,Netflix
59,Team Foxcatcher,85,Jon Greenhalgh,2016,,,Netflix
60,The Meyerowitz Stories (New and Selected),85,Noah Baumbach,2017,,,Netflix
61,Casino Royale,85,Martin Campbell,2006,,,Netflix
62,The Hateful Eight,85,Quentin Tarantino,2015,,,Netflix
63,Rush,84,Ron Howard,2013,,,Netflix
64,Zombieland,84,Ruben Fleischer,2009,,,Netflix
65,Eurovision Song Contest: The Story of Fire Saga,84,David Dobkin,2020,,,Netflix
66,Kapoor & Sons,84,Shakun Batra,2016,,,Netflix
67,Kapoor & Sons,84,Shakun Batra,2016,,,Amazon Prime
68,The Perfection,84,Richard Shepard,2019,,,Netflix
69,Dave Chappelle: Sticks & Stones,84,Stan Lathan,2019,,,Netflix
70,There Will Be Blood,84,Paul Thomas Anderson,2007,,,Netflix
71,Million Dollar Baby,84,Clint Eastwood,2004,,,Netflix
72,The Social Network,84,David Fincher,2010,,,Netflix
73,The Social Network,84,David Fincher,2010,,,Amazon Prime
74,The Christmas Chronicles,84,Clay Kaytis,2018,,,Netflix
75,Monty Python and the Holy Grail,84,"Terry Gilliam, Terry Jones",1975,,,Netflix
76,The Pixar Story,84,Leslie Iwerks,2007,,,Netflix
77,The Pixar Story,84,Leslie Iwerks,2007,,,Disney Plus
78,Ma Rainey's Black Bottom,84,George C. Wolfe,2020,,,Netflix
79,Calibre,84,Matt Palmer,2018,,,Netflix
80,Silver Linings Playbook,84,David O. Russell,2012,,,Netflix
81,Over the Moon,84,Glen Keane,2020,,,Netflix
82,"What Happened, Miss Simone?",84,Liz Garbus,2015,,,Netflix
83,Nightcrawler,84,Dan Gilroy,2014,,,Netflix
84,1922,84,Zak Hilditch,2017,,,Netflix
85,Paddleton,84,Alex Lehmann,2019,,,Netflix
86,Cargo,84,Arati Kadav,2020,,,Netflix
87,Rain Man,83,Barry Levinson,1988,,,Netflix
88,Cuba and the Cameraman,83,Jon Alpert,2017,,,Netflix
89,The Ritual,83,David Bruckner,2018,,,Netflix
90,The Hater,83,Jan Komasa,2020,,,Netflix
91,The Edge of Democracy,83,Petra Costa,2019,,,Netflix
92,22-Jul,83,Paul Greengrass,2018,,,Netflix
93,Guru,83,Mani Ratnam,2007,,,Netflix
94,Dumplin',83,Anne Fletcher,2018,,,Netflix
95,The Conjuring,83,James Wan,2013,,,Netflix
96,Marriage Story,83,Noah Baumbach,2019,,,Netflix
97,My Octopus Teacher,83,"Pippa Ehrlich, James Reed",2020,,,Netflix
98,About Time,83,Richard Curtis,2013,,,Netflix
99,Hey Arnold! The Jungle Movie,83,"Raymie Muzquiz, Stu Livingston",2017,,,Netflix
100,Kung Fu Panda,83,"John Stevenson, Mark Osborne",2008,,,Netflix
101,Superbad,83,Greg Mottola,2007,,,Netflix
102,The Invisible Guest,83,Paulo Oriol,2016,,,Netflix
103,Mystic River,82,Clint Eastwood,2003,,,Netflix
104,The Theory of Everything,82,James Marsh,2014,,,Netflix
105,The Life Ahead,82,Edoardo Ponti,2020,,,Netflix
106,Scott Pilgrim vs. the World,82,Edgar Wright,2010,,,Netflix
107,Being Elmo: A Puppeteer's Journey,82,Constance Marks,2011,,,Netflix
108,The Resistance Banker,82,Joram Lürsen,2018,,,Netflix
109,How to Train Your Dragon 2,82,Dean DeBlois,2014,,,Netflix
110,The Endless Trench,82,"Aitor Arregi, Jon Garaño, Jose Mari Goenaga",2019,,,Netflix
111,Even the Rain,82,Icíar Bollaín,2010,,,Netflix
112,Dear Ex,82,"Hsu Chih-yen, Mag Hsu",2018,,,Netflix
113,Braven,82,Lin Oeding,2018,,,Netflix
114,Period. End of Sentence.,82,Rayka Zehtabchi,2018,,,Netflix
115,Captain Fantastic,82,Matt Ross,2016,,,Netflix
116,Veronica,81,Paco Plaza,2017,,,Netflix
117,The Siege of Jadotville,81,Richie Smyth,2016,,,Netflix
118,Into the Inferno,81,Werner Herzog,2016,,,Netflix
119,Ricky Gervais: Humanity,81,John L. Spencer,2018,,,Netflix
120,A Whisker Away,81,"Junichi Sato, Tomotaka Shibayama",2020,,,Netflix
121,Lady Bird,81,Greta Gerwig,2017,,,Netflix
122,Road to Perdition,81,,2002,,,Hulu
123,Boogie Nights,81,Paul Thomas Anderson,1997,,,Netflix
124,Total Recall,81,Paul Verhoeven,1990,,,Netflix
125,Total Recall,81,,2012,,,Hulu
126,Bo Burnham: Inside,81,Bo Burnham,2021,,,Netflix
127,Snowpiercer,81,Bong Joon Ho,2013,,,Netflix
128,Circus of Books,81,Rachel Mason,2020,,,Netflix
129,Tallulah,81,Sian Heder,2016,,,Netflix
130,The Conjuring 2,81,James Wan,2016,,,Netflix
131,Nocturnal Animals,81,Tom Ford,2016,,,Netflix
132,Get Me Roger Stone,81,"Dylan Bank, Daniel DiMauro, Morgan Pehme",2017,,,Netflix
133,Hachi: A Dog's Tale,81,Lasse Hallström,2009,,,Netflix
134,Dances with Wolves,80,Kevin Costner,1990,,,Netflix
135,Udta Punjab,80,Abhishek Chaubey,2016,,,Netflix
136,Divines,80,Houda Benyamina,2016,,,Netflix
137,Maktub,80,Oded Raz,2018,,,Netflix
138,Ittefaq,80,Abhay Chopra,2017,,,Netflix
139,Hannah Gadsby: Nanette,80,"Madeleine Parry, Jon Olb",2018,,,Netflix
140,Ali Wong: Hard Knock Wife,80,Jay Karas,2018,,,Netflix
141,Seven Pounds,80,Gabriele Muccino,2008,,,Netflix
142,Uncut Gems,80,"Josh Safdie, Benny Safdie",2019,,,Netflix
143,The Kindergarten Teacher,80,Sara Colangelo,2018,,,Netflix
144,Les Misérables,80,Tom Hooper,2012,,,Netflix
145,Les Misérables,80,Ladj LY,2020,,,Amazon Prime
146,The Sky Is Pink,80,Shonali Bose,2019,,,Netflix
147,Next Gen,80,"Kevin R. Adams, Joe Ksander",2018,,,Netflix
148,Tom Segura: Disgraceful,80,Jay Karas,2018,,,Netflix
149,My Happy Family,80,"Nana Ekvtimishvili, Simon Gross",2017,,,Netflix
150,The American Meme,80,Bert Marcus,2018,,,Netflix
151,Badla,80,Sujoy Ghosh,2019,,,Netflix
152,Okko's Inn,80,Kitaro Kosaka,2018,,,Netflix
153,The Willoughbys,80,Kris Pearn,2020,,,Netflix
154,Hunt for the Wilderpeople,80,Taika Waititi,2016,,,Netflix
155,Hunt for the Wilderpeople,80,,2016,,,Hulu
156,Stardust,79,Matthew Vaughn,2007,,,Netflix
157,Stardust,79,,2020,,,Hulu
158,Wheelman,79,Jeremy Rush,2017,,,Netflix
159,The Artist,79,Michel Hazanavicius,2011,,,Netflix
160,The Artist,79,,2011,,,Hulu
161,On My Skin,79,Alessio Cremonini,2018,,,Netflix
162,Gaga: Five Foot Two,79,Chris Moukarbel,2017,,,Netflix
163,Hugo,79,Martin Scorsese,2011,,,Netflix
164,The Impossible,79,J.A. Bayona,2012,,,Netflix
165,War Dogs,79,Todd Phillips,2016,,,Netflix
166,Ip Man,79,Wilson Yip,2008,,,Netflix
167,The Speed Cubers,79,Sue Kim,2020,,,Netflix
168,Kung Fu Panda 2,79,Jennifer Yuh Nelson,2011,,,Netflix
169,The Dirt,79,Jeff Tremaine,2019,,,Netflix
170,Andhadhun,79,Sriram Raghavan,2018,,,Netflix
171,Atlantics,79,Mati Diop,2019,,,Netflix
172,37 Seconds,79,Hikari,2020,,,Netflix
173,El Camino: A Breaking Bad Movie,79,Vince Gilligan,2019,,,Netflix
174,Underworld,79,Len Wiseman,2003,,,Netflix
175,Underworld,79,,2003,,,Hulu
176,Underworld,79,Roger Christian,1997,,,Amazon Prime
177,The Ring,79,Gore Verbinski,2002,,,Netflix
178,Hold the Dark,79,Jeremy Saulnier,2018,,,Netflix
179,The Karate Kid,79,John G. Avildsen,1984,,,Netflix
180,Quincy,79,"Rashida Jones, Alan Hicks",2018,,,Netflix
181,Get In,79,Olivier Abbou,2019,,,Netflix
182,Jerry Before Seinfeld,79,Michael Bonfiglio,2017,,,Netflix
183,Mike Birbiglia: The New One,78,Seth Barrish,2019,,,Netflix
184,Klaus,78,Sergio Pablos,2019,,,Netflix
185,Snowden,78,Oliver Stone,2016,,,Netflix
186,Snowden,78,,2007,,,Amazon Prime
187,What's Eating Gilbert Grape,78,Lasse Hallström,1993,,,Netflix
188,The Da Vinci Code,78,Ron Howard,2006,,,Netflix
189,The Da Vinci Code,78,,2006,,,Hulu
190,Don 2,78,Farhan Akhtar,2011,,,Netflix
191,Elena,78,Petra Costa,2012,,,Netflix
192,Real Steel,78,Shawn Levy,2011,,,Netflix
193,The Founder,78,John Lee Hancock,2016,,,Netflix
194,Stargate,78,Roland Emmerich,1994,,,Netflix
195,Stargate,78,Roland Emmerich,1994,,,Amazon Prime
196,Shirkers,78,Sandi Tan,2018,,,Netflix
197,Chef,78,Jon Favreau,2014,,,Netflix
198,Chef,78,Raja Menon,2017,,,Amazon Prime
199,Fire in the Blood,78,Dylan Mohan Gray,2012,,,Netflix
200,Austin Powers: International Man of Mystery,78,Jay Roach,1997,,,Netflix
201,Miles Davis: Birth of the Cool,78,Stanley Nelson,2019,,,Netflix
202,Insidious,78,James Wan,2010,,,Netflix
203,Screwball,78,Billy Corben,2018,,,Netflix
204,The Old Guard,78,Gina Prince-Bythewood,2020,,,Netflix
205,Rango,78,Gore Verbinski,2011,,,Netflix
206,Before I Wake,78,Mike Flanagan,2016,,,Netflix
207,The Disaster Artist,78,James Franco,2017,,,Netflix
208,Fruitvale Station,77,Ryan Coogler,2013,,,Netflix
209,The Florida Project,77,Sean Baker,2017,,,Netflix
210,Behind the Curve,77,Daniel J. Clark,2018,,,Netflix
211,Lawless,77,John Hillcoat,2012,,,Netflix
212,Errementari: The Blacksmith and the Devil,77,Paul Urkijo Alijo,2018,,,Netflix
213,Audrie & Daisy,77,"Bonni Cohen, Jon Shenk",2016,,,Netflix
214,Quantum of Solace,77,Marc Forster,2008,,,Netflix
215,Quantum of Solace,77,Marc Forster,2008,,,Amazon Prime
216,The Master,77,Paul Thomas Anderson,2012,,,Netflix
217,Layer Cake,77,Matthew Vaughn,2004,,,Netflix
218,Flipped,77,Rob Reiner,2010,,,Netflix
219,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,77,Marcus Raboy,2018,,,Netflix
220,Tig,77,"Kristina Goolsby, Ashley York",2015,,,Netflix
221,Roll Red Roll,77,Nancy Schwartzman,2018,,,Netflix
222,Enola Holmes,77,Harry Bradbeer,2020,,,Netflix
223,PK,77,Rajkumar Hirani,2014,,,Netflix
224,Good Time,77,"Benny Safdie, Josh Safdie",2017,,,Netflix
225,The Next Three Days,77,Paul Haggis,2010,,,Netflix
226,Miracle in Cell No. 7,77,Mehmet Ada Öztekin,2019,,,Netflix
227,Trixie Mattel: Moving Parts,77,Nicholas Zeig-Owens,2019,,,Netflix
228,Talaash,77,Reema Kagti,2012,,,Netflix
229,Evelyn,77,Orlando von Einsiedel,2019,,,Netflix
230,I Am Sam,77,Jessie Nelson,2001,,,Netflix
231,In the Shadow of the Moon,77,Jim Mickle,2019,,,Netflix
232,Memoirs of a Geisha,76,Rob Marshall,2005,,,Netflix
233,Mad Max,76,George Miller,1979,,,Netflix
234,Mad Max,76,,1979,,,Hulu
235,John Leguizamo's Latin History for Morons,76,,2018,,,Netflix
236,And Breathe Normally,76,Ísold Uggadóttir,2018,,,Netflix
237,The Killing of a Sacred Deer,76,Yorgos Lanthimos,2017,,,Netflix
238,Angels & Demons,76,Ron Howard,2009,,,Netflix
239,Angels & Demons,76,,2009,,,Hulu
240,Smoke & Mirrors,76,Alberto Rodríguez,2016,,,Netflix
241,Bright,76,David Ayer,2017,,,Netflix
242,Yes Man,76,Peyton Reed,2008,,,Netflix
243,Murder Mystery,76,Kyle Newacheck,2019,,,Netflix
244,Pink,76,Aniruddha Roy Chowdhury,2016,,,Netflix
245,Midnight Run,76,Martin Brest,1988,,,Netflix
246,Ravenous,76,Robin Aubert,2017,,,Netflix
247,Austin Powers: The Spy Who Shagged Me,76,Jay Roach,1999,,,Netflix
248,The Life of David Gale,76,Alan Parker,2003,,,Netflix
249,Tramps,76,Adam Leon,2017,,,Netflix
250,The Two Popes,76,Fernando Meirelles,2019,,,Netflix
251,The Wandering Earth,76,Frant Gwo,2019,,,Netflix
252,Just Another Love Story,76,Ole Bornedal,2007,,,Netflix
253,Patton Oswalt: Annihilation,76,Bobcat Goldthwait,2017,,,Netflix
254,Joan Didion: The Center Will Not Hold,76,Griffin Dunne,2017,,,Netflix
255,Steve Jobs,76,Danny Boyle,2015,,,Netflix
256,White Fang,76,Alexandre Espigares,2018,,,Netflix
257,White Fang,76,Randal Kleiser,1991,,,Disney Plus
258,A Monster Calls,76,J.A. Bayona,2016,,,Netflix
259,Olympus Has Fallen,76,Antoine Fuqua,2013,,,Netflix
260,Talladega Nights: The Ballad of Ricky Bobby,76,Adam McKay,2006,,,Netflix
261,The Time Traveler's Wife,76,Robert Schwentke,2009,,,Netflix
262,State of Play,76,Kevin Macdonald,2009,,,Netflix
263,The Outlaw Josey Wales,76,Clint Eastwood,1976,,,Netflix
264,The Bank Job,76,Roger Donaldson,2008,,,Netflix
265,Miss Sloane,76,John Madden,2016,,,Netflix
266,Unknown,75,Jaume Collet-Serra,2011,,,Netflix
267,6 Underground,75,Michael Bay,2019,,,Netflix
268,Uncorked,75,Prentice Penny,2020,,,Netflix
269,Petta,75,Karthik Subbaraj,2019,,,Netflix
270,My Fair Lady,75,George Cukor,1964,,,Netflix
271,"Bikram: Yogi, Guru, Predator",75,Eva Orner,2019,,,Netflix
272,A Futile and Stupid Gesture,75,David Wain,2018,,,Netflix
273,The Dig,75,Simon Stone,2021,,,Netflix
274,Legally Blonde,75,Robert Luketic,2001,,,Netflix
275,Legend,75,Brian Helgeland,2015,,,Netflix
276,Legend,75,Mary Wharton,2021,,,Amazon Prime
277,Notes on Blindness,75,"Peter Middleton, James Spinney",2016,,,Netflix
278,When We First Met,75,Ari Sandel,2018,,,Netflix
279,Imperial Dreams,75,Malik Vitthal,2014,,,Netflix
280,Black Mirror: Bandersnatch,75,,2018,,,Netflix
281,Queen,75,Vikas Bahl,2014,,,Netflix
282,Joshua: Teenager vs. Superpower,75,Joe Piscatella,2017,,,Netflix
283,Air Force One,75,Wolfgang Petersen,1997,,,Netflix
284,Air Force One,75,,1997,,,Hulu
285,Shot Caller,75,Ric Roman Waugh,2017,,,Netflix
286,What Dreams May Come,75,Vincent Ward,1998,,,Netflix
287,Angel Has Fallen,75,Ric Roman Waugh,2019,,,Netflix
288,Crimson Peak,75,Guillermo del Toro,2015,,,Netflix
289,The Red Sea Diving Resort,75,Gideon Raff,2019,,,Netflix
290,The Angel,75,Ariel Vromen,2018,,,Netflix
291,Army of the Dead,75,Zack Snyder,2021,,,Netflix
292,Madagascar 3: Europe's Most Wanted,75,"Eric Darnell, Tom McGrath, Conrad Vernon",2012,,,Netflix
293,Icarus,75,Bryan Fogel,2017,,,Netflix
294,Collateral Beauty,75,David Frankel,2016,,,Netflix
295,The Danish Girl,75,Tom Hooper,2015,,,Netflix
296,Green Zone,75,Paul Greengrass,2010,,,Netflix
297,John Mulaney: New in Town,75,Ryan Polito,2012,,,Netflix
298,Strong Island,75,Yance Ford,2017,,,Netflix
299,The White Tiger,75,Ramin Bahrani,2021,,,Netflix
300,Defiance,75,Edward Zwick,2008,,,Netflix
301,A Fortunate Man,75,Bille August,2018,,,Netflix
302,The Death of Stalin,75,Armando Iannucci,2017,,,Netflix
303,2012,75,Roland Emmerich,2009,,,Netflix
304,Underworld: Awakening,74,"Måns Mårlind, Björn Stein",2012,,,Netflix
305,Philomena,74,Stephen Frears,2013,,,Netflix
306,Sanju,74,Rajkumar Hirani,2018,,,Netflix
307,Nappily Ever After,74,Haifaa Al-Mansour,2018,,,Netflix
308,I Care a Lot,74,J Blakeson,2021,,,Netflix
309,Qarib Qarib Singlle,74,Tanuja Chandra,2017,,,Netflix
310,A Single Man,74,Tom Ford,2009,,,Netflix
311,Home,74,Tim Johnson,2015,,,Netflix
312,Home,74,Frank Lin,2016,,,Amazon Prime
313,Zack and Miri Make a Porno,74,Kevin Smith,2008,,,Netflix
314,Seeing Allred,74,"Roberta Grossman, Sophie Sartain",2018,,,Netflix
315,Dostana,74,Tarun Mansukhani,2008,,,Netflix
316,Dostana,74,Tarun Mansukhani,2008,,,Amazon Prime
317,Remember Me,74,Allen Coulter,2010,,,Netflix
318,Underworld: Rise of the Lycans,74,Patrick Tatopoulos,2009,,,Netflix
319,The Lovely Bones,74,Peter Jackson,2009,,,Netflix
320,Madagascar: Escape 2 Africa,74,"Eric Darnell, Tom McGrath",2008,,,Netflix
321,No Strings Attached,74,Ivan Reitman,2011,,,Netflix
322,Heroin(e),74,Elaine McMillion Sheldon,2017,,,Netflix
323,A Ghost Story,74,David Lowery,2017,,,Netflix
324,Safety Not Guaranteed,74,Colin Trevorrow,2012,,,Netflix
325,Game Over,74,Ahmed Al-Badry,2012,,,Netflix
326,Peppermint,74,Pierre Morel,2018,,,Netflix
327,Have a Good Trip: Adventures in Psychedelics,74,Donick Cary,2020,,,Netflix
328,Beasts of No Nation,74,Cary Joji Fukunaga,2015,,,Netflix
329,Extinction,74,Ben Young,2018,,,Netflix
330,Nobody Knows I'm Here,74,Gaspar Antillo,2020,,,Netflix
331,ARQ,74,Tony Elliott,2016,,,Netflix
332,Ali's Wedding,74,Jeffrey Walker,2018,,,Netflix
333,Bo Burnham: Make Happy,74,"Bo Burnham, Christopher Storer",2016,,,Netflix
334,"Extremely Wicked, Shockingly Evil and Vile",74,Joe Berlinger,2019,,,Netflix
335,Due Date,74,Todd Phillips,2010,,,Netflix
336,Between Two Ferns: The Movie,74,Scott Aukerman,2019,,,Netflix
337,Ip Man 2,74,Wilson Yip,2010,,,Netflix
338,Mirage,74,Oriol Paulo,2018,,,Netflix
339,Puss in Boots,74,Chris Miller,2011,,,Netflix
340,Austin Powers in Goldmember,74,Jay Roach,2002,,,Netflix
341,The Kissing Booth,73,Vince Marcello,2018,,,Netflix
342,Hush,73,Mike Flanagan,2016,,,Netflix
343,Lost Bullet,73,Guillaume Pierret,2020,,,Netflix
344,Dil Chahta Hai,73,Farhan Akhtar,2001,,,Netflix
345,Election,73,,1999,,,Hulu
346,Soni,73,Ivan Ayr,2018,,,Netflix
347,Killing Them Softly,73,Andrew Dominik,2012,,,Netflix
348,Swordfish,73,Dominic Sena,2001,,,Netflix
349,Wish Dragon,73,Chris Appelhans,2021,,,Netflix
350,Raees,73,Rahul Dholakia,2017,,,Netflix
351,Let It Snow,73,Luke Snellin,2019,,,Netflix
352,The Babysitter: Killer Queen,73,McG,2020,,,Netflix
353,Hardcore Henry,73,Ilya Naishuller,2015,,,Netflix
354,Spelling the Dream,73,Sam Rega,2020,,,Netflix
355,Resident Evil: Extinction,73,,2007,,,Hulu
356,Polar,73,,2019,,,Netflix
357,Saving Capitalism,73,Jacob Kornbluth,2017,,,Netflix
358,The Untold Tales of Armistead Maupin,73,Jennifer M. Kroot,2017,,,Netflix
359,The Mitchells vs. The Machines,73,"Mike Rianda, Jeff Rowe",2021,,,Netflix
360,Spenser Confidential,73,Peter Berg,2020,,,Netflix
361,Psychokinesis,73,Sang-ho Yeon,2018,,,Netflix
362,Twilight,73,Catherine Hardwicke,2008,,,Netflix
363,Twilight,73,Robert Benton,1998,,,Amazon Prime
364,The Highwaymen,73,John Lee Hancock,2019,,,Netflix
365,ParaNorman,73,"Sam Fell, Chris Butler",2012,,,Netflix
366,Holidate,73,John Whitesell,2020,,,Netflix
367,Pee-wee's Big Holiday,73,John Lee,2016,,,Netflix
368,Gunpowder Milkshake,73,Navot Papushado,2021,,,Netflix
369,"Michael Bolton's Big, Sexy Valentine's Day Special",73,"Scott Aukerman, Akiva Schaffer",2017,,,Netflix
370,I Am Not Your Negro,73,Raoul Peck,2017,,,Netflix
371,I Am Not Your Negro,73,,2016,,,Hulu
372,Midnight Special,73,Jeff Nichols,2016,,,Netflix
373,Layla M.,73,Mijke de Jong,2016,,,Netflix
374,Homefront,73,Gary Fleder,2013,,,Netflix
375,The Squid and the Whale,73,Noah Baumbach,2005,,,Netflix
376,The Squid and the Whale,73,Noah Baumbach,2005,,,Amazon Prime
377,No Escape,73,John Erick Dowdle,2015,,,Netflix
378,No Escape,73,,2020,,,Hulu
379,Mercury 13,73,"David Sington, Heather Walsh",2018,,,Netflix
380,The Professor and the Madman,73,Farhad Safinia,2019,,,Netflix
381,Asperger's Are Us,73,Alex Lehmann,2016,,,Netflix
382,The Garden of Words,73,Makoto Shinkai,2013,,,Netflix
383,Fractured,73,Brad Anderson,2019,,,Netflix
384,The Queen,73,Stephen Frears,2006,,,Netflix
385,The Whole Nine Yards,72,Jonathan Lynn,2000,,,Netflix
386,E-Team,72,"Katy Chevigny, Ross Kauffman",2014,,,Netflix
387,The Discovery,72,Charlie McDowell,2017,,,Netflix
388,The Strangers,72,Bryan Bertino,2008,,,Netflix
389,She's Out of My League,72,Jim Field Smith,2010,,,Netflix
390,She's Out of My League,72,Jim Field Smith,2010,,,Amazon Prime
391,Voyeur,72,"Myles Kane, Josh Koury",2017,,,Netflix
392,It Comes at Night,72,Trey Edward Shults,2017,,,Netflix
393,The Manchurian Candidate,72,,2004,,,Hulu
394,Bon Cop Bad Cop 2,72,Alain Desrochers,2017,,,Netflix
395,Hot Rod,72,Akiva Schaffer,2007,,,Netflix
396,Hot Rod,72,Akiva Schaffer,2007,,,Amazon Prime
397,The BFG,72,Steven Spielberg,2016,,,Netflix
398,Sunday's Illness,72,Ramón Salazar,2017,,,Netflix
399,Win It All,72,Joe Swanberg,2017,,,Netflix
400,Mile 22,72,Peter Berg,2018,,,Netflix
401,Tenacious D in The Pick of Destiny,72,Liam Lynch,2006,,,Netflix
402,The Sum of All Fears,72,Phil Alden Robinson,2002,,,Netflix
403,The Perfect Date,72,Chris Nelson,2019,,,Netflix
404,Code 8,72,Jeff Chan,2019,,,Netflix
405,Cowspiracy: The Sustainability Secret,72,"Kip Andersen, Keegan Kuhn",2014,,,Netflix
406,American Assassin,72,Michael Cuesta,2017,,,Netflix
407,August: Osage County,72,John Wells,2014,,,Netflix
408,Kuch Kuch Hota Hai,72,Karan Johar,1998,,,Netflix
409,Kuch Kuch Hota Hai,72,Karan Johar,1998,,,Amazon Prime
410,Who Am I,72,Baran bo Odar,2014,,,Netflix
411,Free State of Jones,72,Gary Ross,2016,,,Netflix
412,Dark Skies,72,Scott Stewart,2013,,,Netflix
413,Safe Haven,72,Lasse Hallström,2013,,,Netflix
414,Outlaw King,72,David Mackenzie,2018,,,Netflix
415,Cloudy with a Chance of Meatballs 2,72,"Cody Cameron, Kris Pearn",2013,,,Netflix
416,Turbo,72,David Soren,2013,,,Netflix
417,Horns,72,Alexandre Aja,2013,,,Netflix
418,Drishyam,72,Nishikant Kamat,2015,,,Netflix
419,Triple Frontier,72,J.C. Chandor,2019,,,Netflix
420,"Hail, Caesar!",72,"Ethan Coen, Joel Coen",2016,,,Netflix
421,The Ice Road,72,Jonathan Hensleigh,2021,,,Netflix
422,Monster House,72,Gil Kenan,2006,,,Netflix
423,Freaks,72,"Adam B. Stein, Zach Lipovsky",2018,,,Netflix
424,Felon,72,Ric Roman Waugh,2008,,,Netflix
425,Horse Girl,72,Jeff Baena,2020,,,Netflix
426,A Christmas Prince,72,Alex Zamm,2017,,,Netflix
427,Hillbilly Elegy,72,Ron Howard,2020,,,Netflix
428,American Ultra,72,Nima Nourizadeh,2015,,,Netflix
429,First Match,72,Olivia Newman,2018,,,Netflix
430,The Pelican Brief,72,Alan J. Pakula,1993,,,Netflix
431,The Tourist,72,Florian Henckel von Donnersmarck,2010,,,Netflix
432,The Dawn Wall,72,"Peter Mortimer, Josh Lowell",2017,,,Netflix
